data_date,sampled_at_jst,original_avg_slump_value,chained_avg_slump_value,hours_from_origin,is_day_start
2026-08-11,2026-08-11T11:00:00+09:00,-93,-93,0.0000,1
2026-08-11,2026-08-11T11:20:00+09:00,-93,-93,0.3333,0
2026-08-11,2026-08-11T11:40:00+09:00,-377,-377,0.6667,0
2026-08-11,2026-08-11T12:00:00+09:00,-377,-377,1.0000,0
2026-08-11,2026-08-11T12:20:00+09:00,-390,-390,1.3333,0
2026-08-11,2026-08-11T12:40:00+09:00,-310,-310,1.6667,0
2026-08-11,2026-08-11T13:00:00+09:00,-310,-310,2.0000,0
2026-08-11,2026-08-11T13:20:00+09:00,-483,-483,2.3333,0
2026-08-11,2026-08-11T13:40:00+09:00,-647,-647,2.6667,0
2026-08-11,2026-08-11T14:00:00+09:00,-647,-647,3.0000,0
2026-08-11,2026-08-11T14:20:00+09:00,-517,-517,3.3333,0
2026-08-11,2026-08-11T14:40:00+09:00,-517,-517,3.6667,0
2026-08-11,2026-08-11T15:00:00+09:00,-717,-717,4.0000,0
2026-08-11,2026-08-11T15:20:00+09:00,-717,-717,4.3333,0
2026-08-11,2026-08-11T15:40:00+09:00,-907,-907,4.6667,0
2026-08-11,2026-08-11T16:00:00+09:00,-907,-907,5.0000,0
2026-08-11,2026-08-11T16:20:00+09:00,-953,-953,5.3333,0
2026-08-11,2026-08-11T16:40:00+09:00,-953,-953,5.6667,0
2026-08-11,2026-08-11T17:00:00+09:00,-1093,-1093,6.0000,0
2026-08-11,2026-08-11T17:20:00+09:00,-1093,-1093,6.3333,0
2026-08-11,2026-08-11T17:40:00+09:00,-1107,-1107,6.6667,0
2026-08-11,2026-08-11T18:00:00+09:00,-1107,-1107,7.0000,0
2026-08-11,2026-08-11T18:20:00+09:00,-1113,-1113,7.3333,0
2026-08-11,2026-08-11T18:40:00+09:00,-1113,-1113,7.6667,0
2026-08-11,2026-08-11T19:00:00+09:00,-960,-960,8.0000,0
2026-08-11,2026-08-11T19:20:00+09:00,-960,-960,8.3333,0
2026-08-11,2026-08-11T19:40:00+09:00,-1073,-1073,8.6667,0
2026-08-11,2026-08-11T20:00:00+09:00,-1073,-1073,9.0000,0
2026-08-11,2026-08-11T20:20:00+09:00,-853,-853,9.3333,0
2026-08-11,2026-08-11T20:40:00+09:00,-853,-853,9.6667,0
2026-08-11,2026-08-11T21:00:00+09:00,-853,-853,10.0000,0
2026-08-11,2026-08-11T21:20:00+09:00,-740,-740,10.3333,0
2026-08-11,2026-08-11T21:40:00+09:00,-620,-620,10.6667,0
2026-08-11,2026-08-11T22:00:00+09:00,-620,-620,11.0000,0
2026-08-11,2026-08-11T22:20:00+09:00,-620,-620,11.3333,0
2026-08-11,2026-08-11T22:40:00+09:00,-613,-613,11.6667,0
2026-08-11,2026-08-11T23:00:00+09:00,-613,-613,12.0000,0
2026-08-11,2026-08-11T23:20:00+09:00,-630,-630,12.3333,0
2026-08-11,2026-08-11T23:40:00+09:00,-630,-630,12.6667,0
2026-08-11,2026-08-12T00:00:00+09:00,-633,-633,13.0000,0
2026-08-12,2026-08-12T11:00:00+09:00,-70,-633,13.0000,1
2026-08-12,2026-08-12T11:20:00+09:00,-70,-633,13.3333,0
2026-08-12,2026-08-12T11:40:00+09:00,-143,-706,13.6667,0
2026-08-12,2026-08-12T12:00:00+09:00,-143,-706,14.0000,0
2026-08-12,2026-08-12T12:20:00+09:00,-210,-773,14.3333,0
2026-08-12,2026-08-12T12:40:00+09:00,-293,-856,14.6667,0
2026-08-12,2026-08-12T13:00:00+09:00,-293,-856,15.0000,0
2026-08-12,2026-08-12T13:20:00+09:00,-177,-740,15.3333,0
2026-08-12,2026-08-12T13:40:00+09:00,3,-560,15.6667,0
2026-08-12,2026-08-12T14:00:00+09:00,3,-560,16.0000,0
2026-08-12,2026-08-12T14:20:00+09:00,270,-293,16.3333,0
2026-08-12,2026-08-12T14:40:00+09:00,270,-293,16.6667,0
2026-08-12,2026-08-12T15:00:00+09:00,117,-446,17.0000,0
2026-08-12,2026-08-12T15:20:00+09:00,117,-446,17.3333,0
2026-08-12,2026-08-12T15:40:00+09:00,-27,-590,17.6667,0
2026-08-12,2026-08-12T16:00:00+09:00,-27,-590,18.0000,0
2026-08-12,2026-08-12T16:20:00+09:00,-67,-630,18.3333,0
2026-08-12,2026-08-12T16:40:00+09:00,-7,-570,18.6667,0
2026-08-12,2026-08-12T17:00:00+09:00,-7,-570,19.0000,0
2026-08-12,2026-08-12T17:20:00+09:00,43,-520,19.3333,0
2026-08-12,2026-08-12T17:40:00+09:00,-93,-656,19.6667,0
2026-08-12,2026-08-12T18:00:00+09:00,-93,-656,20.0000,0
2026-08-12,2026-08-12T18:20:00+09:00,-3,-566,20.3333,0
2026-08-12,2026-08-12T18:40:00+09:00,-3,-566,20.6667,0
2026-08-12,2026-08-12T19:00:00+09:00,-3,-566,21.0000,0
2026-08-12,2026-08-12T19:20:00+09:00,187,-376,21.3333,0
2026-08-12,2026-08-12T19:40:00+09:00,210,-353,21.6667,0
2026-08-12,2026-08-12T20:00:00+09:00,210,-353,22.0000,0
2026-08-12,2026-08-12T20:20:00+09:00,97,-466,22.3333,0
2026-08-12,2026-08-12T20:40:00+09:00,97,-466,22.6667,0
2026-08-12,2026-08-12T21:00:00+09:00,97,-466,23.0000,0
2026-08-12,2026-08-12T21:20:00+09:00,190,-373,23.3333,0
2026-08-12,2026-08-12T21:40:00+09:00,347,-216,23.6667,0
2026-08-12,2026-08-12T22:00:00+09:00,347,-216,24.0000,0
2026-08-12,2026-08-12T22:20:00+09:00,347,-216,24.3333,0
2026-08-12,2026-08-12T22:40:00+09:00,327,-236,24.6667,0
2026-08-12,2026-08-12T23:00:00+09:00,327,-236,25.0000,0
2026-08-12,2026-08-12T23:20:00+09:00,327,-236,25.3333,0
2026-08-12,2026-08-12T23:40:00+09:00,327,-236,25.6667,0
2026-08-12,2026-08-13T00:00:00+09:00,313,-250,26.0000,0
2026-08-13,2026-08-13T11:00:00+09:00,-80,-250,26.0000,1
2026-08-13,2026-08-13T11:20:00+09:00,-80,-250,26.3333,0
2026-08-13,2026-08-13T11:40:00+09:00,-410,-580,26.6667,0
2026-08-13,2026-08-13T12:00:00+09:00,-410,-580,27.0000,0
2026-08-13,2026-08-13T12:20:00+09:00,-380,-550,27.3333,0
2026-08-13,2026-08-13T12:40:00+09:00,-557,-727,27.6667,0
2026-08-13,2026-08-13T13:00:00+09:00,-557,-727,28.0000,0
2026-08-13,2026-08-13T13:20:00+09:00,-203,-373,28.3333,0
2026-08-13,2026-08-13T13:40:00+09:00,-203,-373,28.6667,0
2026-08-13,2026-08-13T14:00:00+09:00,-203,-373,29.0000,0
